Significance Matrix for 1
p-value between 0 and 1 is 0.0000
Significance Matrix for 2
p-value between 0 and 1 is 0.5707
p-value between 0 and 2 is 0.0000
p-value between 0 and 3 is 0.6562
p-value between 1 and 2 is 0.0000
p-value between 1 and 3 is 0.0005
p-value between 2 and 3 is 0.0000
Significance Matrix for 3
p-value between 0 and 1 is 0.0002
p-value between 0 and 2 is 0.0055
p-value between 0 and 3 is 0.4803
p-value between 0 and 4 is 0.0000
p-value between 0 and 5 is 0.0000
p-value between 0 and 6 is 0.0000
p-value between 0 and 7 is 0.0057
p-value between 0 and 8 is 0.0000
p-value between 1 and 2 is 0.3751
p-value between 1 and 3 is 0.0001
p-value between 1 and 4 is 0.0092
p-value between 1 and 5 is 0.0000
p-value between 1 and 6 is 0.0000
p-value between 1 and 7 is 0.5676
p-value between 1 and 8 is 0.9763
p-value between 2 and 3 is 0.0019
p-value between 2 and 4 is 0.0000
p-value between 2 and 5 is 0.0000
p-value between 2 and 6 is 0.0000
p-value between 2 and 7 is 0.7321
p-value between 2 and 8 is 0.0357
p-value between 3 and 4 is 0.0000
p-value between 3 and 5 is 0.0000
p-value between 3 and 6 is 0.0000
p-value between 3 and 7 is 0.0052
p-value between 3 and 8 is 0.0000
p-value between 4 and 5 is 0.0000
p-value between 4 and 6 is 0.0000
p-value between 4 and 7 is 0.0000
p-value between 4 and 8 is 0.0102
p-value between 5 and 6 is 0.3204
p-value between 5 and 7 is 0.0000
p-value between 5 and 8 is 0.0000
p-value between 6 and 7 is 0.0000
p-value between 6 and 8 is 0.0000
p-value between 7 and 8 is 0.0794
Significance Matrix for 1
p-value between 0 and 1 is 0.0000
Significance Matrix for 2
p-value between 0 and 1 is 0.0000
p-value between 0 and 2 is 0.0928
p-value between 0 and 3 is 0.0000
p-value between 1 and 2 is 0.0000
p-value between 1 and 3 is 0.0000
p-value between 2 and 3 is 0.0000
Significance Matrix for 3
p-value between 0 and 1 is 0.9827
p-value between 0 and 2 is 0.0408
p-value between 0 and 3 is 0.0000
p-value between 0 and 4 is 0.9724
p-value between 0 and 5 is 0.8842
p-value between 0 and 6 is 0.5816
p-value between 0 and 7 is 0.0000
p-value between 0 and 8 is 0.0000
p-value between 1 and 2 is 0.0023
p-value between 1 and 3 is 0.0000
p-value between 1 and 4 is 0.1667
p-value between 1 and 5 is 0.0636
p-value between 1 and 6 is 0.1355
p-value between 1 and 7 is 0.0000
p-value between 1 and 8 is 0.0000
p-value between 2 and 3 is 0.0000
p-value between 2 and 4 is 0.0015
p-value between 2 and 5 is 0.0240
p-value between 2 and 6 is 0.0979
p-value between 2 and 7 is 0.0000
p-value between 2 and 8 is 0.0000
p-value between 3 and 4 is 0.0000
p-value between 3 and 5 is 0.0000
p-value between 3 and 6 is 0.0000
p-value between 3 and 7 is 0.6951
p-value between 3 and 8 is 0.2478
p-value between 4 and 5 is 0.9981
p-value between 4 and 6 is 0.8184
p-value between 4 and 7 is 0.0000
p-value between 4 and 8 is 0.0000
p-value between 5 and 6 is 0.9996
p-value between 5 and 7 is 0.0000
p-value between 5 and 8 is 0.0000
p-value between 6 and 7 is 0.0000
p-value between 6 and 8 is 0.0000
p-value between 7 and 8 is 0.9852
