State,South,Region,Division,UER23,PR23,PNH,PH,SCR,PC
12,0,3,8,3.4,13.2,23.9863535,32.67287758,33.55202729,9.788741635
37,0,1,3,3.6,11.7,11.05307976,41.32841328,32.46097076,15.15753619
11,1,2,6,4.0,16.6,10.71005917,43.73438527,30.00657462,15.54898093
17,1,2,4,3.0,10.7,10.00583072,29.29325477,33.67397042,27.02694409
11,1,2,6,3.6,21.5,13.08233175,40.42811125,30.44231235,16.04724464
31,1,2,4,2.8,12.4,9.97253797,23.84763923,27.77139771,38.40842509
16,0,3,7,2.6,12.3,0.0,28.80143113,23.97137746,47.22719141
30,0,3,7,2.7,7.1,5.957639597,42.73417148,29.83350323,21.47468569
9,1,2,4,3.3,14.3,15.2539335,33.15538144,29.15978543,22.43089962
29,0,1,3,2.6,18.0,3.883924867,17.12080555,31.0188387,47.97643088
4,1,2,6,3.5,16.0,18.96348645,26.79623086,30.03533569,24.204947
20,1,2,4,3.6,18.5,16.6386378,39.88332983,29.37775909,14.10027328
17,1,2,4,3.4,13.6,17.21882651,31.68284623,32.51322615,18.5851011
30,0,3,7,2.2,20.6,2.96596075,14.9850316,41.72857301,40.32043464
27,0,1,2,2.9,8.3,4.505349684,28.86819004,31.12421542,35.50224486
6,1,2,5,5.0,22.1,14.21208808,38.48977042,28.54130876,18.75683273
6,1,2,5,4.0,13.1,15.55888722,43.44494419,27.80276528,13.1934033
6,1,2,5,3.8,13.9,10.88574901,45.80674567,23.17684594,20.13065937
42,0,0,0,2.3,8.7,5.226283571,27.74494887,25.9155727,41.11319486
35,0,3,7,2.3,10.0,3.636363636,31.32575758,41.96969697,23.06818182
4,1,2,6,3.7,10.9,9.535193687,31.09780608,35.63374024,23.73325999
13,0,0,1,3.7,15.5,10.08097966,44.33339917,24.4835078,21.10211337
29,0,1,3,1.9,15.6,4.71921809,27.58082239,28.15337459,39.54658493
8,1,2,5,3.3,23.0,18.10794543,38.2423756,26.87600321,16.77367576
8,1,2,5,5.0,33.8,17.82767223,42.60218768,22.72116676,16.84897333
8,1,2,5,2.9,15.4,12.45058324,34.55512714,32.72243643,20.27185319
29,0,1,3,2.1,9.5,7.710760795,30.03769705,35.69225497,26.55928718
6,1,2,5,3.6,14.2,13.43176089,33.53258912,27.57652143,25.45912856
21,1,2,5,2.6,9.1,7.629509548,28.10473614,29.87720775,34.38854656
9,1,2,4,3.2,19.9,16.66081461,37.21910112,29.37148876,16.74859551
29,0,1,3,2.7,10.2,4.962546816,22.00374532,48.4082397,24.62546816
19,1,2,6,2.3,12.5,12.36313869,29.97262774,31.02189781,26.64233577
33,0,1,2,3.8,6.8,3.963389034,33.20178017,30.95138131,31.88344949
4,1,2,6,4.2,21.7,21.56505914,38.21656051,26.08431908,14.13406127
8,1,2,5,4.8,31.0,17.9939325,45.63898369,23.89078498,12.47629882
30,0,3,7,3.2,15.3,24.26160338,30.16877637,28.27004219,17.29957806
40,0,1,3,2.5,10.2,5.317406801,33.12782969,39.39890184,22.15586167
38,0,1,3,1.6,9.0,7.266666667,27.53333333,41.66666667,23.53333333
17,1,2,4,3.1,10.6,9.288325562,16.27503776,20.89402596,53.54261071
40,0,1,3,2.7,9.8,6.488287759,38.88072136,33.40194061,21.22905028
0,0,1,3,2.2,17.3,3.174603175,32.53968254,38.57142857,25.71428571
40,0,1,3,3.1,14.0,7.678679283,32.58304812,39.22689752,20.51137508
33,0,1,2,3.9,16.1,8.266480642,38.12347401,36.76316707,16.84687827
21,1,2,5,3.0,11.7,12.65867419,41.45275035,27.94076164,17.94781382
20,1,2,4,3.5,16.9,16.77063923,33.69791245,33.85994761,15.67150072
20,1,2,4,2.3,8.5,7.143697875,10.63525693,16.4665725,65.75447269
40,0,1,3,2.7,14.1,4.616169345,23.60792315,30.14537108,41.63053643
35,0,3,7,2.6,9.3,5.149556474,23.49618587,28.54286768,42.81138997
18,0,3,7,2.9,12.4,9.370535339,39.17135894,34.45667703,17.00142869
19,1,2,6,2.7,19.8,14.16397973,35.53661907,29.59465684,20.70474436
4,1,2,6,4.5,15.1,10.04797441,36.32729211,34.08848614,19.53624733
21,1,2,5,3.1,15.8,14.95877503,52.17903416,22.73262662,10.12956419
6,1,2,5,5.6,29.7,20.49390306,35.03432729,30.23363049,14.23813915
3,0,1,3,2.8,9.2,6.426385583,36.48418905,32.94797688,24.14144849
12,0,3,8,4.3,12.6,8.706771034,26.02075737,34.68895056,30.58352104
4,1,2,6,7.3,28.9,26.6211006,33.01787592,30.80967403,9.551349457
0,0,1,3,2.9,11.6,9.541984733,19.46564885,38.35877863,32.63358779
40,0,1,3,3.5,7.0,4.704748554,33.69546171,36.1047836,25.49500613
31,1,2,4,2.9,12.7,9.721509355,26.7054546,27.77412072,35.79891533
9,1,2,4,3.8,22.8,16.07391911,35.70432357,28.74825662,19.4735007
26,0,1,2,4.8,13.3,9.301525009,41.69506696,33.02006954,15.9833385
4,1,2,6,3.6,5.1,5.80920467,18.93947327,31.27912456,43.9721975
26,0,1,2,4.4,20.6,12.10050628,29.52247559,31.48957792,26.8874402
37,0,1,3,2.7,11.3,22.20362419,29.98326177,30.10697911,17.70613492
37,0,1,3,4.8,12.1,6.437699681,37.61182109,36.99680511,18.95367412
38,0,1,3,2.1,12.4,6.873586328,28.02211611,37.45916059,27.64513697
17,1,2,4,3.5,14.3,10.91428571,34.83928571,34.41428571,19.83214286
29,0,1,3,3.0,10.7,3.569751057,30.06106153,37.62329732,28.74589009
14,1,2,5,4.9,35.5,20.79077658,32.50008656,26.17456635,20.53457051
4,1,2,6,4.6,16.3,15.0283321,33.30869672,29.44896116,22.21401002
14,1,2,5,7.5,49.6,32.70440252,41.29979036,21.5932914,4.402515723
4,1,2,6,3.3,18.3,14.57700651,40.83152567,28.84309472,15.7483731
4,1,2,6,4.4,17.2,15.12136818,34.06921765,32.79665337,18.0127608
41,1,2,4,2.8,16.1,15.963991,37.75693923,26.42910728,19.84996249
15,0,1,3,3.2,11.8,13.91744167,43.40022842,26.67645619,16.00587372
11,1,2,6,2.7,16.8,12.51718213,42.65463918,29.50171821,15.32646048
15,0,1,3,3.1,14.9,14.49661276,39.13928809,29.77248698,16.59161217
20,1,2,4,2.4,19.6,7.361139789,14.65345172,17.43409732,60.55131117
33,0,1,2,5.7,11.4,9.036093418,34.67091295,34.87473461,21.41825902
7,0,1,2,4.8,18.6,11.3109379,43.45905405,27.27897434,17.95103371
17,1,2,4,3.2,13.8,9.145760559,33.00095268,26.38297872,31.47030803
30,0,3,7,3.1,12.3,26.60189076,27.15992647,32.87815126,13.36003151
7,0,1,2,4.8,18.8,16.89370255,44.11567664,23.8722644,15.11835641
4,1,2,6,3.7,16.7,11.90504092,27.30227653,33.02103828,27.77164427
30,0,3,7,3.8,14.6,6.393931184,28.79978326,39.60986183,25.19642373
40,0,1,3,3.2,9.9,8.199559333,41.0292729,32.0585458,18.71262197
31,1,2,4,3.0,10.8,10.86766823,22.75566751,26.82502699,39.55163728
9,1,2,4,3.8,15.1,13.14699793,43.02967564,27.67425811,16.14906832
8,1,2,5,2.9,23.6,12.40504406,46.96140991,26.86873291,13.76481313
21,1,2,5,2.6,8.9,8.201487638,28.98657374,30.18635154,32.62558708
20,1,2,4,2.7,12.7,9.980842912,38.67816092,31.87739464,19.46360153
11,1,2,6,2.9,14.8,16.00058988,34.79329499,28.0882859,21.11782923
20,1,2,4,2.9,12.9,10.96472057,35.01092726,27.75522947,26.2691227
12,0,3,8,3.6,12.8,7.746749943,16.54734171,27.08760092,48.61830743
21,1,2,5,4.5,22.8,20.01639848,44.84985139,22.74264631,12.39110382
37,0,1,3,4.3,10.7,5.430178899,28.13072887,35.98204691,30.45704533
38,0,1,3,1.5,8.7,7.764198418,33.71675054,39.43206326,19.08698778
25,0,0,1,4.4,19.0,10.88932279,33.76645268,30.70418183,24.6400427
15,0,1,3,3.4,19.8,19.44692239,39.67439786,25.44603033,15.43264942
5,0,3,8,4.4,11.9,11.63248072,21.92956635,33.15417066,33.28378227
7,0,1,2,3.1,10.1,9.606650758,44.1690401,30.49033947,15.73396967
27,0,1,2,2.7,8.6,6.690436242,43.95973154,30.48972315,18.86010906
20,1,2,4,2.6,11.1,8.440445587,37.6092545,30.91688089,23.03341902
5,0,3,8,4.1,14.9,17.86386359,16.90536386,29.36083259,35.86993995
23,1,2,4,4.2,20.8,15.22222222,46.77124183,26.07189542,11.93464052
14,1,2,5,3.7,20.0,19.05899651,36.57415916,32.25510017,12.11174416
6,1,2,5,4.1,17.9,16.22218715,43.45905002,27.75761401,12.56114881
40,0,1,3,2.5,10.7,6.086527389,32.25859516,41.12518506,20.52969238
40,0,1,3,2.2,14.1,6.555349412,34.94124923,33.27149041,25.23191095
17,1,2,4,3.6,15.5,16.04011268,34.99246151,31.33728773,17.63013807
39,1,2,4,2.2,10.0,8.458045843,35.81706698,28.82402162,26.90086556
27,0,1,2,2.9,9.6,7.98013245,42.51655629,32.26821192,17.23509934
0,0,1,3,2.0,10.8,6.518904824,37.67926988,37.35332464,18.44850065
0,0,1,3,2.0,11.0,6.890389198,39.79348689,33.61795075,19.69817315
0,0,1,3,2.4,10.5,20.17036147,28.99421208,30.70874741,20.12667904
6,1,2,5,6.7,26.1,27.2069317,28.70540265,26.23853211,17.84913354
40,0,1,3,3.7,13.3,7.335464052,36.20566606,34.35938809,22.0994818
37,0,1,3,2.9,8.0,6.106977397,31.72820441,37.25958164,24.90523656
37,0,1,3,2.8,7.4,5.045675136,28.73965173,36.46874108,29.74593206
37,0,1,3,2.7,10.5,10.134611,33.05954825,38.71777321,18.08806753
5,0,3,8,4.2,12.2,6.653779347,31.90172018,39.25869894,22.18580154
28,0,0,0,4.2,8.9,3.617343911,21.43210338,27.54488715,47.40566556
20,1,2,4,2.7,12.9,8.728384896,30.21997412,29.44359487,31.60804611
13,0,0,1,3.8,18.8,8.601092202,51.61290323,22.29489459,17.49110998
27,0,1,2,5.0,14.3,9.776864013,34.65206858,30.67503915,24.89602825
21,1,2,5,3.3,13.3,15.23706329,41.20127683,26.65241456,16.90924532
21,1,2,5,4.4,21.2,16.18859806,48.0996773,23.71817856,11.99354607
33,0,1,2,4.4,17.3,8.504669813,30.71845814,33.63255338,27.14431867
21,1,2,5,5.1,24.6,17.220223,47.98536959,23.87469766,10.91970975
12,0,3,8,4.3,16.2,7.610690068,27.41922617,37.9976067,26.97247706
25,0,0,1,3.9,13.3,9.207644082,33.42397462,32.00392779,25.36445351
