q=0.1688, p-value=0.0010,R_C=0.0765, H(s)=0.9951, B_C=0.0769, p-value=0.0010
q=0.1726, p-value=0.0010,R_C=0.0802, H(s)=1.6952, B_C=0.0473, p-value=0.0010
q=0.1937, p-value=0.0010,R_C=0.0972, H(s)=2.9217, B_C=0.0333, p-value=0.0010
