q=0.0982, p-value=0.0010,R_C=0.0413, H(s)=0.9951, B_C=0.0415, p-value=0.0010
q=0.2172, p-value=0.0010,R_C=0.0824, H(s)=1.6952, B_C=0.0486, p-value=0.0010
q=0.2357, p-value=0.0010,R_C=0.0914, H(s)=2.9217, B_C=0.0313, p-value=0.0010
